,Serial Number,State_RTC,Route Link,Route Name,Boarding_point,Destination
114,115,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal,Kolkata to Mecheda (West Bengal),Kolkata,Mecheda (West Bengal)
115,116,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-digha,Durgapur (West Bengal) to Digha,Durgapur (West Bengal),Digha
116,117,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat,Kolkata to Kolaghat,Kolkata,Kolaghat
117,118,SBSTC,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,Jhargram to Kolkata,Jhargram,Kolkata
118,119,SBSTC,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal),Digha,Barasat (West Bengal)
119,120,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-siliguri,Durgapur (West Bengal) to Siliguri,Durgapur (West Bengal),Siliguri
120,121,SBSTC,https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal,Midnapore to Barasat (West Bengal),Midnapore,Barasat (West Bengal)
121,122,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-heria,Kolkata to Heria,Kolkata,Heria
122,123,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal,Kolkata to Chandipur (West Bengal),Kolkata,Chandipur (West Bengal)
123,124,SBSTC,https://www.redbus.in/bus-tickets/siliguri-to-durgapur,Siliguri to Durgapur (West Bengal),Siliguri,Durgapur (West Bengal)
124,125,SBSTC,https://www.redbus.in/bus-tickets/berhampore-to-durgapur,Berhampore (West Bengal) to Durgapur (West Bengal),Berhampore (West Bengal),Durgapur (West Bengal)
125,126,SBSTC,https://www.redbus.in/bus-tickets/berhampore-to-suri,Berhampore (West Bengal) to Suri,Berhampore (West Bengal),Suri
126,127,SBSTC,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha,Barasat (West Bengal),Digha
127,128,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-futishanko,Kolkata to Futishanko,Kolkata,Futishanko
128,129,SBSTC,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore,Barasat (West Bengal) to Midnapore,Barasat (West Bengal),Midnapore
129,130,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-berhampore,Durgapur (West Bengal) to Berhampore (West Bengal),Durgapur (West Bengal),Berhampore (West Bengal)
130,131,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-malda,Durgapur (West Bengal) to Malda,Durgapur (West Bengal),Malda
131,132,SBSTC,https://www.redbus.in/bus-tickets/digha-to-asansol,Digha to Asansol (West Bengal),Digha,Asansol (West Bengal)
